state,x,y
Andhra Pradesh,-70,-101
Arunachal Pradesh,210,95
Assam,203,65
Bihar,69,52
Chhattisgarh,-7,-9
Goa,-167,-97
Gujarat,-239,3
Haryana,-107,102
Himachal Pradesh,-110,142
Jharkhand,46,22
Karnataka,-135,-107
Kerala,-121,-178
Madhya Pradesh,-100,18
Maharashtra,-136,-39
Manipur,239,39
Meghalaya,169,49
Mizoram,208,17
Nagaland,255,64
Odisha,10,-40
Punjab,-130,129
Rajasthan,-171,67
Sikkim,119,80
Tamil Nadu,-83,-163
Telangana,-70,-61
Tripura,185,25
Uttarakhand,-52,117
Uttar Pradesh,-31,73
West Bengal,100,18
